1,available,Buick,2018,4,552T,GM,Shanghai,unexpired,05-10-2020
2,available,Buick,2019,4,652T,GM,Hangzhou,unexpired,05-10-2020
3,available,BUick,2018,7,528T,GM,Shanghai,unexpired,05-10-2020
4,available,Buick,2019,7,653T,GM,Beijing,unexpired,05-10-2020
5,available,Cadillac,2018,4,243T,GM,Guangzhou,unexpired,05-10-2020
6,available,Cadillac,2017,5,123T,GM,Shanghai,unexpired,05-10-2020
7,available,Cadillac,2018,5,234T,GM,Nanjing,unexpired,05-10-2020
8,unavailable,Cadillac,2016,7,256T,GM,Shanghai,expired,05-10-2020
9,unavailable,Opel,2018,4,278T,GM,Shanghai,expired,05-10-2020
10,unavailable,Opel,2019,5,278T,GM,Nanjing,expired,05-10-2020
11,unavailable,Opel,2018,7,290T,GM,Beijing,unexpired,05-10-2020
12,available,Opel,2017,4,312T,GM,Guangzhou,unexpired,05-10-2020
13,available,Porsche,2020,4,Carrera911,Porsche,Shanghai,unexpired,05-10-2020
14,unavailable,Porsche,2019,4,Turbo911,Porsche,Hangzhou,unexpired,05-10-2020
15,available,Porsche,2018,4,TaycanS,Porsche,Nanjing,unexpired,05-10-2020
16,available,Porsche,2020,5,PanameraS,Porsche,Shanghai,unexpired,05-10-2020
17,unavailable,Porsche,2017,5,TaycanA,Porsche,Guangzhou,expired,05-10-2020
18,unavailable,Porsche,2020,4,PanameraGTS,Porsche,Hangzhou,expired,05-10-2020
19,available,Porsche,2019,5,MacanS,Porsche,Beijing,unexpired,05-10-2020
20,available,Porsche,2020,5,CayenneCoupe,Porsche,Shanghai,unexpired,05-10-2020
21,available,Porsche,2018,5,CayenneS,Porsche,Nanjing,unexpired,05-10-2020
22,available,Porsche,2020,2,Cayman718,Porsche,Guangzhou,unexpired,05-10-2020
23,unavailable,Porsche,2018,2,Cayman718,Porsche,Hangzhou,unexpired,05-10-2020
24,unavailable,Porsche,2017,4,Turbo911,Porsche,Shanghai,expired,05-10-2020
25,available,BMW,2019,4,BMW4,BMW,Shanghai,unexpired,05-10-2020
26,available,BMW,2018,4,BMW1,BMW,Hangzhou,unexpired,05-10-2020
27,available,BMW,2019,4,BMW2,BMW,Guangzhou,unexpired,05-10-2020
28,unavailable,BMW,2020,5,BMW3,BMW,Nanjing,unexpired,05-10-2020
29,available,BMW,2020,5,BMW5,BMW,Beijing,unexpired,05-10-2020
30,available,BMW,2017,5,BMW6,BMW,Shanghai,unexpired,05-10-2020
31,unavailable,BMW,2018,5,BMW7,BMW,Beijing,expired,05-10-2020
32,available,BMW,2019,2,BMW8,BMW,Guangzhou,unexpired,05-10-2020
33,available,BMW,2018,7,BMWX,BMW,Nanjing,unexpired,05-10-2020
34,unavailable,BMW,2017,5,BMWM,BMW,Guangzhou,unexpired,05-10-2020
35,available,Audi,2019,5,A3,Volkswagen,Hangzhou,unexpired,05-10-2020
36,unavailable,Audi,2020,5,A4,Volkswagen,Beijing,unexpired,05-10-2020
38,unavailable,Audi,2018,5,A7,Volkswagen,Shanghai,expired,05-10-2020
39,available,Audi,2017,7,Q7,Volkswagen,Guangzhou,unexpired,05-10-2020
40,available,Audi,2020,2,R8,Volkswagen,Nanjing,unexpired,05-10-2020
